Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
75	-10.268031	3.6357741	-6.4072533	-36.13461	50.0	-4.0422316	2.0425835	3.213866	-12.3894	380000	4.155096e-09	4.060651	-0.026297452	-0.34163475	-0.45330873	0.010203369	0.1394	79.0	294.54097294807434
76	-9.362847	2.4194553	-5.640354	-16.298475	50.0	-3.7707589	2.1654062	18.011972	-10.363736	385000	-2.245903e-08	1.5675781	-0.010419793	-0.21761739	-0.46777344	0.016710699	0.1208	9.0	298.0656249523163
77	-9.508076	2.5926363	-6.071528	-21.042204	50.0	-3.5604556	1.9834712	2.5509508	-13.056098	390000	3.1095745e-08	1.4891553	-0.032742824	-0.062395573	-0.46972328	0.0152622005	0.1572	77.0	301.7993381023407
78	-9.558379	3.0735903	-5.7771306	-26.619448	50.0	-3.6648366	1.9727159	2.2516363	-10.940922	395000	-1.5568734e-08	3.227399	-0.027823033	-0.0994246	-0.4883541	0.004823463	0.1406	79.0	305.811322927475
79	-9.529255	2.6093159	-5.7065997	-18.311993	50.0	-3.6759374	2.0259073	5.2954245	-12.834304	400000	-2.8908254e-09	1.4006214	-0.032488313	-0.12826431	-0.50193745	0.014254053	0.1628	79.0	309.9173741340637
80	-9.729651	2.7338662	-5.360739	-16.564	50.0	-3.4772062	2.070122	5.785187	-9.4814	405000	-2.4017691e-08	1.2641675	-0.034887966	-0.080001354	-0.5223876	0.009498731	0.1528	79.0	313.9014940261841
81	-9.275408	3.0098126	-5.107326	-15.349765	50.0	-3.5611815	2.0195343	5.0925627	-9.567826	410000	3.4570694e-10	1.2551775	-0.002847121	-0.095710754	-0.54790586	0.015811991	0.2052	2.0	317.37048721313477
82	-8.564659	2.7372673	-4.8875165	-17.393843	50.0	-3.2255356	1.9235413	2.2233386	-9.7198715	415000	-1.1712312e-09	1.3417354	-0.030889235	-0.062891245	-0.5483906	0.010999652	0.148	79.0	321.2293379306793
83	-8.589063	2.7637935	-4.8438697	-15.822668	50.0	-3.1527648	2.0275233	17.277092	-9.552408	420000	-5.208887e-09	1.3630843	-0.008578745	-0.23394	-0.5633775	0.017331691	0.1358	6.0	324.6493480205536
84	-9.062796	2.960982	-4.5091386	-18.862968	50.0	-3.0886924	1.9596138	2.8566968	-9.831718	425000	-1.4425069e-08	1.4465646	-0.016673073	-0.112550855	-0.5645289	0.015339055	0.1386	12.0	327.97992515563965
85	-9.052864	3.0527325	-4.808027	-15.996555	50.0	-3.385397	2.0702448	2.9447823	-9.776026	430000	-3.490448e-08	1.0286912	-0.010678588	-0.08434421	-0.56789726	0.015609452	0.1714	8.0	331.319473028183
86	-8.737883	2.938687	-4.401357	-17.221457	50.0	-3.030417	2.1029253	9.108661	-9.724677	435000	1.1065975e-08	1.1491994	-0.0307433	-0.07823014	-0.5697662	0.012485501	0.1578	79.0	335.0660650730133
87	-8.9741335	2.6690476	-5.0302973	-14.689835	50.0	-3.251416	2.0346284	2.1893983	-9.496607	440000	-1.5124678e-08	0.9656287	-0.031017179	-0.07498574	-0.58281267	0.012843703	0.126	79.0	339.11737608909607
88	-9.40345	3.1667173	-4.3692923	-15.535083	50.0	-3.3341012	2.0954394	3.7837756	-9.834457	445000	-1.29118565e-08	1.0962178	-0.030380642	-0.10949725	-0.60188115	0.008390756	0.1386	79.0	343.12006998062134
89	-8.85698	2.9172575	-4.5244126	-15.305477	50.0	-3.242821	2.152216	2.4511063	-10.192635	450000	-2.3421645e-08	0.90760505	-0.030688275	-0.049897134	-0.6202189	0.015073926	0.1678	66.0	347.08684396743774
90	-8.604881	2.7609775	-4.5127845	-15.671855	50.0	-2.9876294	2.0465968	5.0221224	-10.077805	455000	2.0611287e-08	0.80925435	-0.031408608	-0.04047644	-0.63886994	0.010548061	0.136	79.0	351.21883893013
91	-8.408797	2.8097835	-4.346562	-15.976785	50.0	-3.0279105	2.0081816	1.5451202	-10.094947	460000	5.789101e-09	0.9108018	-0.03410282	-0.049535394	-0.65323806	0.011365225	0.1724	79.0	355.21785402297974
92	-8.725765	2.8425572	-4.329367	-15.289392	50.0	-3.0174623	2.0215063	5.530755	-9.576167	465000	2.9701646e-08	0.9751625	-0.03488581	-0.050955057	-0.6748578	0.014850796	0.184	79.0	359.2539360523224
93	-8.30878	2.559334	-4.4098473	-14.385406	50.0	-2.9015336	2.0064633	2.3440082	-9.823888	470000	6.4313412e-09	0.7799991	-0.028923154	-0.05595374	-0.69806486	0.015074761	0.1322	54.0	363.13572692871094
94	-7.8454037	2.4655485	-4.1870623	-14.063189	50.0	-2.7913063	1.796763	0.67943025	-9.232254	475000	8.19387e-09	0.73857874	-0.031641547	-0.07332438	-0.7064226	0.015270322	0.1622	64.0	366.94760298728943
95	-8.117377	2.6894593	-4.3009443	-14.926326	50.0	-2.6314447	1.8632746	0.96073806	-9.234404	480000	1.2552738e-08	0.8936947	-0.033812482	-0.055427015	-0.71886957	0.014203186	0.1576	79.0	370.95137214660645
96	-7.846994	2.9438288	-3.8261983	-16.289112	50.0	-2.760224	1.8118478	0.247781	-9.405509	485000	-3.182888e-09	1.0842912	-0.023925459	-0.09534603	-0.740715	0.015115619	0.1306	37.0	374.71216011047363
97	-8.321037	2.8819935	-4.131732	-15.020243	50.0	-2.998939	1.9051765	2.557241	-9.20278	490000	-8.47578e-09	0.8355164	-0.020867154	-0.11039168	-0.7491208	0.015488411	0.136	27.0	378.2391881942749
98	-7.7106004	2.5863364	-3.9669461	-15.879553	50.0	-2.5943828	1.8579948	0.8367132	-9.420134	495000	7.2270634e-09	0.8208237	-0.03377035	-0.0420776	-0.7545406	0.012326903	0.1772	79.0	382.19429898262024
99	-7.620148	2.476163	-3.9354463	-14.627266	50.0	-2.627311	1.7832258	0.18461786	-9.025519	500000	1.1697412e-08	0.57385325	-0.031210229	-0.045165658	-0.77380353	0.01124763	0.1504	79.0	386.181116104126
100	-7.4760423	2.5848856	-3.7502732	-14.992668	50.0	-2.3618617	1.8149858	1.6833937	-9.239321	505000	1.1730194e-08	0.75564075	-0.029837938	-0.06424731	-0.7928052	0.015063646	0.1382	57.0	390.035649061203
101	-8.127349	4.173356	-4.082886	-38.21143	50.0	-2.6283777	1.8040549	0.18437904	-10.605088	510000	1.6655028e-08	5.0628233	0.001086533	-0.38435125	-0.8052896	0.032243736	0.0756	2.0	393.5337960720062
102	-7.5268397	2.5832322	-4.1199527	-14.551928	50.0	-2.7474134	1.8425928	2.03518	-9.733665	515000	9.071827e-09	0.7998478	-0.03446293	-0.20451057	-0.8056809	0.013165861	0.1698	79.0	397.32949590682983
103	-7.588431	2.6923099	-3.9125042	-14.659536	50.0	-2.511854	1.7914653	0.81441694	-9.071127	520000	-1.91594e-09	0.6328059	-0.030282408	-0.022021651	-0.8236876	0.013013538	0.1498	79.0	401.3423800468445
104	-7.6299486	2.872445	-3.7670836	-14.64733	50.0	-2.472002	1.8164155	2.5905492	-9.047212	525000	-1.1050701e-08	0.66014427	-0.032390438	-0.025890231	-0.84534013	0.014538409	0.1632	79.0	405.3717882633209
105	-7.269582	2.6269832	-3.7762673	-13.406662	50.0	-2.4893117	1.7702127	0.9791846	-9.178562	530000	-2.0331145e-08	0.5487424	-0.03348052	-0.040372968	-0.8629465	0.012744136	0.1448	79.0	409.3138909339905
